Claim Year,Claim Month,Month,Diagnosis Rollup,Rollup Category,Claim Count
2011,5,01-05-2011,Alzheimer's disease (disorder),Non-Cancer,1
2011,5,01-05-2011,Chronic congestive heart failure (disorder),Non-Cancer,38
2011,5,01-05-2011,Colon Cancer,Cancer,1
2011,5,01-05-2011,Fracture of ankle,Non-Cancer,1
2011,5,01-05-2011,Fracture of forearm,Non-Cancer,1
2011,5,01-05-2011,Hyperlipidemia,Non-Cancer,8
2011,5,01-05-2011,Lung Cancer (SCLC),Cancer,2
2011,5,01-05-2011,Normal pregnancy,Non-Cancer,2
2011,5,01-05-2011,Unknown,Unknown,73
2011,6,01-06-2011,Acute bronchitis (disorder),Non-Cancer,4
2011,6,01-06-2011,Acute viral pharyngitis (disorder),Non-Cancer,2
2011,6,01-06-2011,Alzheimer's disease (disorder),Non-Cancer,2
2011,6,01-06-2011,Anemia (disorder),Non-Cancer,2
2011,6,01-06-2011,Chronic congestive heart failure (disorder),Non-Cancer,43
2011,6,01-06-2011,Colon Cancer,Cancer,1
2011,6,01-06-2011,Hyperlipidemia,Non-Cancer,11
2011,6,01-06-2011,Lung Cancer (SCLC),Cancer,1
2011,6,01-06-2011,Normal pregnancy,Non-Cancer,3
2011,6,01-06-2011,Unknown,Unknown,62
2011,7,01-07-2011,Acute bronchitis (disorder),Non-Cancer,1
2011,7,01-07-2011,Alzheimer's disease (disorder),Non-Cancer,2
2011,7,01-07-2011,Asthma,Non-Cancer,3
2011,7,01-07-2011,Chronic congestive heart failure (disorder),Non-Cancer,33
2011,7,01-07-2011,Colon Cancer,Cancer,2
2011,7,01-07-2011,Drug overdose,Non-Cancer,1
2011,7,01-07-2011,Hyperlipidemia,Non-Cancer,11
2011,7,01-07-2011,Localized  primary osteoarthritis of the hand,Non-Cancer,1
2011,7,01-07-2011,Lung Cancer (NSCLC),Cancer,1
2011,7,01-07-2011,Lung Cancer (SCLC),Cancer,1
2011,7,01-07-2011,Normal pregnancy,Non-Cancer,2
2011,7,01-07-2011,Unknown,Unknown,65
2011,7,01-07-2011,Viral sinusitis (disorder),Non-Cancer,1
2011,8,01-08-2011,Alzheimer's disease (disorder),Non-Cancer,1
2011,8,01-08-2011,Anemia (disorder),Non-Cancer,1
2011,8,01-08-2011,Asthma,Non-Cancer,2
2011,8,01-08-2011,Chronic congestive heart failure (disorder),Non-Cancer,25
2011,8,01-08-2011,Colon Cancer,Cancer,1
2011,8,01-08-2011,Contact dermatitis,Non-Cancer,1
2011,8,01-08-2011,Drug overdose,Non-Cancer,1
2011,8,01-08-2011,Hyperlipidemia,Non-Cancer,12
2011,8,01-08-2011,Lung Cancer (SCLC),Cancer,1
2011,8,01-08-2011,Unknown,Unknown,70
2011,9,01-09-2011,Acute bacterial sinusitis (disorder),Non-Cancer,1
2011,9,01-09-2011,Acute bronchitis (disorder),Non-Cancer,3
2011,9,01-09-2011,Acute viral pharyngitis (disorder),Non-Cancer,1
2011,9,01-09-2011,Bleeding from anus,Non-Cancer,1
2011,9,01-09-2011,Breast Cancer,Cancer,9
2011,9,01-09-2011,Chronic congestive heart failure (disorder),Non-Cancer,17
2011,9,01-09-2011,Colon Cancer,Cancer,3
2011,9,01-09-2011,Hyperlipidemia,Non-Cancer,14
2011,9,01-09-2011,Lung Cancer (SCLC),Cancer,1
2011,9,01-09-2011,Normal pregnancy,Non-Cancer,1
2011,9,01-09-2011,Unknown,Unknown,72
2011,9,01-09-2011,Viral sinusitis (disorder),Non-Cancer,1
2011,10,01-10-2011,Acute bronchitis (disorder),Non-Cancer,1
2011,10,01-10-2011,Acute viral pharyngitis (disorder),Non-Cancer,1
2011,10,01-10-2011,Alzheimer's disease (disorder),Non-Cancer,2
2011,10,01-10-2011,Breast Cancer,Cancer,3
2011,10,01-10-2011,Chronic congestive heart failure (disorder),Non-Cancer,3
2011,10,01-10-2011,Colon Cancer,Cancer,2
2011,10,01-10-2011,Familial Alzheimer's disease of early onset (disorder),Non-Cancer,1
2011,10,01-10-2011,Fracture of rib,Non-Cancer,1
2011,10,01-10-2011,Hyperlipidemia,Non-Cancer,7
2011,10,01-10-2011,Lung Cancer (SCLC),Cancer,2
2011,10,01-10-2011,Normal pregnancy,Non-Cancer,2
2011,10,01-10-2011,Osteoarthritis of knee,Non-Cancer,1
2011,10,01-10-2011,Sepsis (disorder),Non-Cancer,1
2011,10,01-10-2011,Sinusitis (disorder),Non-Cancer,1
2011,10,01-10-2011,Unknown,Unknown,55
2011,10,01-10-2011,Viral sinusitis (disorder),Non-Cancer,1
2011,11,01-11-2011,Acute bacterial sinusitis (disorder),Non-Cancer,1
2011,11,01-11-2011,Acute bronchitis (disorder),Non-Cancer,2
2011,11,01-11-2011,Acute viral pharyngitis (disorder),Non-Cancer,1
2011,11,01-11-2011,Alzheimer's disease (disorder),Non-Cancer,2
2011,11,01-11-2011,Chronic congestive heart failure (disorder),Non-Cancer,1
2011,11,01-11-2011,Chronic pain,Non-Cancer,1
2011,11,01-11-2011,Colon Cancer,Cancer,3
2011,11,01-11-2011,Fracture of ankle,Non-Cancer,1
2011,11,01-11-2011,Hyperlipidemia,Non-Cancer,21
2011,11,01-11-2011,Localized  primary osteoarthritis of the hand,Non-Cancer,1
2011,11,01-11-2011,Lung Cancer (SCLC),Cancer,1
2011,11,01-11-2011,Normal pregnancy,Non-Cancer,2
2011,11,01-11-2011,Streptococcal sore throat (disorder),Non-Cancer,1
2011,11,01-11-2011,Unknown,Unknown,61
2011,11,01-11-2011,Viral sinusitis (disorder),Non-Cancer,1
2011,12,01-12-2011,Acute bacterial sinusitis (disorder),Non-Cancer,2
2011,12,01-12-2011,Acute bronchitis (disorder),Non-Cancer,2
2011,12,01-12-2011,Acute viral pharyngitis (disorder),Non-Cancer,1
2011,12,01-12-2011,Alzheimer's disease (disorder),Non-Cancer,1
2011,12,01-12-2011,Breast Cancer,Cancer,3
2011,12,01-12-2011,Chronic congestive heart failure (disorder),Non-Cancer,15
2011,12,01-12-2011,Colon Cancer,Cancer,2
2011,12,01-12-2011,Drug overdose,Non-Cancer,1
2011,12,01-12-2011,Familial Alzheimer's disease of early onset (disorder),Non-Cancer,1
2011,12,01-12-2011,Hyperlipidemia,Non-Cancer,14
2011,12,01-12-2011,Lung Cancer (SCLC),Cancer,1
2011,12,01-12-2011,Normal pregnancy,Non-Cancer,2
2011,12,01-12-2011,Sinusitis (disorder),Non-Cancer,2
2011,12,01-12-2011,Streptococcal sore throat (disorder),Non-Cancer,1
2011,12,01-12-2011,Unknown,Unknown,64
2011,12,01-12-2011,Viral sinusitis (disorder),Non-Cancer,1
2012,1,01-01-2012,Acute bacterial sinusitis (disorder),Non-Cancer,1
2012,1,01-01-2012,Acute bronchitis (disorder),Non-Cancer,6
2012,1,01-01-2012,Alzheimer's disease (disorder),Non-Cancer,1
2012,1,01-01-2012,Chronic congestive heart failure (disorder),Non-Cancer,15
2012,1,01-01-2012,Colon Cancer,Cancer,2
2012,1,01-01-2012,Drug overdose,Non-Cancer,1
2012,1,01-01-2012,Hyperlipidemia,Non-Cancer,7
2012,1,01-01-2012,Lung Cancer (SCLC),Cancer,2
2012,1,01-01-2012,Normal pregnancy,Non-Cancer,5
2012,1,01-01-2012,Sinusitis (disorder),Non-Cancer,1
2012,1,01-01-2012,Unknown,Unknown,72
2012,1,01-01-2012,Viral sinusitis (disorder),Non-Cancer,3
2012,2,01-02-2012,Acute bacterial sinusitis (disorder),Non-Cancer,1
2012,2,01-02-2012,Acute bronchitis (disorder),Non-Cancer,3
2012,2,01-02-2012,Acute viral pharyngitis (disorder),Non-Cancer,3
2012,2,01-02-2012,Alzheimer's disease (disorder),Non-Cancer,1
2012,2,01-02-2012,Anemia (disorder),Non-Cancer,1
2012,2,01-02-2012,Asthma,Non-Cancer,1
2012,2,01-02-2012,Breast Cancer,Cancer,3
2012,2,01-02-2012,Chronic congestive heart failure (disorder),Non-Cancer,1
2012,2,01-02-2012,Colon Cancer,Cancer,1
2012,2,01-02-2012,Concussion with no loss of consciousness,Non-Cancer,2
2012,2,01-02-2012,Drug overdose,Non-Cancer,1
2012,2,01-02-2012,Fracture of clavicle,Non-Cancer,1
2012,2,01-02-2012,Hyperlipidemia,Non-Cancer,10
2012,2,01-02-2012,Injury of anterior cruciate ligament,Non-Cancer,1
2012,2,01-02-2012,Laparoscopic Removal of Gall Bladder,Non-Cancer,1
2012,2,01-02-2012,Lung Cancer (SCLC),Cancer,1
2012,2,01-02-2012,Normal pregnancy,Non-Cancer,11
2012,2,01-02-2012,Streptococcal sore throat (disorder),Non-Cancer,2
2012,2,01-02-2012,Unknown,Unknown,118
2012,2,01-02-2012,Viral sinusitis (disorder),Non-Cancer,7
2012,3,01-03-2012,Acute bronchitis (disorder),Non-Cancer,3
2012,3,01-03-2012,Acute viral pharyngitis (disorder),Non-Cancer,2
2012,3,01-03-2012,Alzheimer's disease (disorder),Non-Cancer,2
2012,3,01-03-2012,Asthma,Non-Cancer,1
2012,3,01-03-2012,Breast Cancer,Cancer,2
2012,3,01-03-2012,Chronic congestive heart failure (disorder),Non-Cancer,1
2012,3,01-03-2012,Closed fracture of hip,Non-Cancer,1
2012,3,01-03-2012,Colon Cancer,Cancer,1
2012,3,01-03-2012,Escherichia coli urinary tract infection,Non-Cancer,1
2012,3,01-03-2012,Fetus with chromosomal abnormality,Non-Cancer,1
2012,3,01-03-2012,Fracture subluxation of wrist,Non-Cancer,1
2012,3,01-03-2012,Hyperlipidemia,Non-Cancer,17
2012,3,01-03-2012,Injury of medial collateral ligament of knee,Non-Cancer,1
2012,3,01-03-2012,Lung Cancer (SCLC),Cancer,1
2012,3,01-03-2012,Normal pregnancy,Non-Cancer,16
2012,3,01-03-2012,Rheumatoid arthritis,Non-Cancer,1
2012,3,01-03-2012,Streptococcal sore throat (disorder),Non-Cancer,1
2012,3,01-03-2012,Unknown,Unknown,128
2012,3,01-03-2012,Viral sinusitis (disorder),Non-Cancer,2
2012,4,01-04-2012,Acute bacterial sinusitis (disorder),Non-Cancer,1
2012,4,01-04-2012,Acute bronchitis (disorder),Non-Cancer,3
2012,4,01-04-2012,Acute viral pharyngitis (disorder),Non-Cancer,4
2012,4,01-04-2012,Breast Cancer,Cancer,4
2012,4,01-04-2012,Chronic congestive heart failure (disorder),Non-Cancer,2
2012,4,01-04-2012,Escherichia coli urinary tract infection,Non-Cancer,1
2012,4,01-04-2012,Fracture of ankle,Non-Cancer,1
2012,4,01-04-2012,Hyperlipidemia,Non-Cancer,12
2012,4,01-04-2012,Idiopathic atrophic hypothyroidism,Non-Cancer,2
2012,4,01-04-2012,Injury of anterior cruciate ligament,Non-Cancer,1
2012,4,01-04-2012,Laparoscopic Removal of Gall Bladder,Non-Cancer,1
2012,4,01-04-2012,Lung Cancer (SCLC),Cancer,1
2012,4,01-04-2012,Normal pregnancy,Non-Cancer,15
2012,4,01-04-2012,Prostate Cancer,Cancer,1
2012,4,01-04-2012,Sinusitis (disorder),Non-Cancer,1
2012,4,01-04-2012,Streptococcal sore throat (disorder),Non-Cancer,3
2012,4,01-04-2012,Unknown,Unknown,134
2012,4,01-04-2012,Viral sinusitis (disorder),Non-Cancer,5
2012,5,01-05-2012,Acute bacterial sinusitis (disorder),Non-Cancer,1
2012,5,01-05-2012,Acute bronchitis (disorder),Non-Cancer,4
2012,5,01-05-2012,Acute viral pharyngitis (disorder),Non-Cancer,5
2012,5,01-05-2012,Alzheimer's disease (disorder),Non-Cancer,1
2012,5,01-05-2012,Asthma,Non-Cancer,1
2012,5,01-05-2012,Breast Cancer,Cancer,4
2012,5,01-05-2012,Drug overdose,Non-Cancer,2
2012,5,01-05-2012,First degree burn,Non-Cancer,1
2012,5,01-05-2012,Fracture of clavicle,Non-Cancer,1
2012,5,01-05-2012,Fracture of forearm,Non-Cancer,2
2012,5,01-05-2012,Hyperlipidemia,Non-Cancer,9
2012,5,01-05-2012,Lung Cancer (SCLC),Cancer,1
2012,5,01-05-2012,Normal pregnancy,Non-Cancer,15
2012,5,01-05-2012,Prostate Cancer,Cancer,1
2012,5,01-05-2012,Second degree burn,Non-Cancer,1
2012,5,01-05-2012,Sinusitis (disorder),Non-Cancer,4
2012,5,01-05-2012,Unknown,Unknown,142
2012,5,01-05-2012,Viral sinusitis (disorder),Non-Cancer,8
2012,6,01-06-2012,Acute bronchitis (disorder),Non-Cancer,5
2012,6,01-06-2012,Acute viral pharyngitis (disorder),Non-Cancer,6
2012,6,01-06-2012,Alzheimer's disease (disorder),Non-Cancer,1
2012,6,01-06-2012,Asthma,Non-Cancer,1
2012,6,01-06-2012,Breast Cancer,Cancer,4
2012,6,01-06-2012,Drug overdose,Non-Cancer,2
2012,6,01-06-2012,First degree burn,Non-Cancer,1
2012,6,01-06-2012,Fracture of clavicle,Non-Cancer,1
2012,6,01-06-2012,Hyperlipidemia,Non-Cancer,10
2012,6,01-06-2012,Lung Cancer (SCLC),Cancer,2
2012,6,01-06-2012,Normal pregnancy,Non-Cancer,18
2012,6,01-06-2012,Osteoarthritis of knee,Non-Cancer,1
2012,6,01-06-2012,Streptococcal sore throat (disorder),Non-Cancer,1
2012,6,01-06-2012,Unknown,Unknown,117
2012,6,01-06-2012,Viral sinusitis (disorder),Non-Cancer,5
2012,7,01-07-2012,Acute bronchitis (disorder),Non-Cancer,2
2012,7,01-07-2012,Acute viral pharyngitis (disorder),Non-Cancer,6
2012,7,01-07-2012,Alzheimer's disease (disorder),Non-Cancer,3
2012,7,01-07-2012,Asthma,Non-Cancer,2
2012,7,01-07-2012,Blighted ovum,Non-Cancer,1
2012,7,01-07-2012,Breast Cancer,Cancer,5
2012,7,01-07-2012,Concussion with no loss of consciousness,Non-Cancer,1
2012,7,01-07-2012,Fetus with chromosomal abnormality,Non-Cancer,1
2012,7,01-07-2012,Fetus with unknown complication,Non-Cancer,1
2012,7,01-07-2012,Hyperlipidemia,Non-Cancer,11
2012,7,01-07-2012,Lung Cancer (SCLC),Cancer,1
2012,7,01-07-2012,Normal pregnancy,Non-Cancer,12
2012,7,01-07-2012,Prostate Cancer,Cancer,1
2012,7,01-07-2012,Sinusitis (disorder),Non-Cancer,1
2012,7,01-07-2012,Stroke,Non-Cancer,1
2012,7,01-07-2012,Unknown,Unknown,124
2012,7,01-07-2012,Viral sinusitis (disorder),Non-Cancer,8
2012,8,01-08-2012,Acute bronchitis (disorder),Non-Cancer,2
2012,8,01-08-2012,Acute viral pharyngitis (disorder),Non-Cancer,3
2012,8,01-08-2012,Alzheimer's disease (disorder),Non-Cancer,1
2012,8,01-08-2012,Asthma,Non-Cancer,1
2012,8,01-08-2012,Breast Cancer,Cancer,7
2012,8,01-08-2012,Chronic congestive heart failure (disorder),Non-Cancer,2
2012,8,01-08-2012,Drug overdose,Non-Cancer,3
2012,8,01-08-2012,Fetus with unknown complication,Non-Cancer,1
2012,8,01-08-2012,Hyperlipidemia,Non-Cancer,12
2012,8,01-08-2012,Lung Cancer (SCLC),Cancer,1
2012,8,01-08-2012,Normal pregnancy,Non-Cancer,12
2012,8,01-08-2012,Sinusitis (disorder),Non-Cancer,1
2012,8,01-08-2012,Unknown,Unknown,124
2012,8,01-08-2012,Viral sinusitis (disorder),Non-Cancer,7
2012,9,01-09-2012,Acute bacterial sinusitis (disorder),Non-Cancer,1
2012,9,01-09-2012,Acute bronchitis (disorder),Non-Cancer,4
2012,9,01-09-2012,Acute viral pharyngitis (disorder),Non-Cancer,3
2012,9,01-09-2012,Asthma,Non-Cancer,2
2012,9,01-09-2012,Breast Cancer,Cancer,7
2012,9,01-09-2012,Chronic congestive heart failure (disorder),Non-Cancer,3
2012,9,01-09-2012,Drug overdose,Non-Cancer,2
2012,9,01-09-2012,Fracture of ankle,Non-Cancer,1
2012,9,01-09-2012,Hyperlipidemia,Non-Cancer,14
2012,9,01-09-2012,Lung Cancer (SCLC),Cancer,2
2012,9,01-09-2012,Normal pregnancy,Non-Cancer,12
2012,9,01-09-2012,Osteoarthritis of hip,Non-Cancer,1
2012,9,01-09-2012,Streptococcal sore throat (disorder),Non-Cancer,1
2012,9,01-09-2012,Unknown,Unknown,113
2012,9,01-09-2012,Viral sinusitis (disorder),Non-Cancer,10
2012,10,01-10-2012,Acute bronchitis (disorder),Non-Cancer,1
2012,10,01-10-2012,Acute viral pharyngitis (disorder),Non-Cancer,3
2012,10,01-10-2012,Breast Cancer,Cancer,6
2012,10,01-10-2012,Bullet wound,Non-Cancer,1
2012,10,01-10-2012,Chronic congestive heart failure (disorder),Non-Cancer,1
2012,10,01-10-2012,Colon Cancer,Cancer,1
2012,10,01-10-2012,Hyperlipidemia,Non-Cancer,8
2012,10,01-10-2012,Lung Cancer (SCLC),Cancer,1
2012,10,01-10-2012,Normal pregnancy,Non-Cancer,5
2012,10,01-10-2012,Osteoarthritis of hip,Non-Cancer,1
2012,10,01-10-2012,Unknown,Unknown,129
2012,10,01-10-2012,Viral sinusitis (disorder),Non-Cancer,7
2012,11,01-11-2012,Acute bacterial sinusitis (disorder),Non-Cancer,1
2012,11,01-11-2012,Acute viral pharyngitis (disorder),Non-Cancer,1
2012,11,01-11-2012,Alzheimer's disease (disorder),Non-Cancer,2
2012,11,01-11-2012,Asthma,Non-Cancer,1
2012,11,01-11-2012,Breast Cancer,Cancer,13
2012,11,01-11-2012,Chronic congestive heart failure (disorder),Non-Cancer,2
2012,11,01-11-2012,Concussion with no loss of consciousness,Non-Cancer,1
2012,11,01-11-2012,Fracture of forearm,Non-Cancer,1
2012,11,01-11-2012,Hyperlipidemia,Non-Cancer,19
2012,11,01-11-2012,Lung Cancer (SCLC),Cancer,1
2012,11,01-11-2012,Normal pregnancy,Non-Cancer,8
2012,11,01-11-2012,Osteoarthritis of knee,Non-Cancer,1
2012,11,01-11-2012,Unknown,Unknown,125
2012,11,01-11-2012,Viral sinusitis (disorder),Non-Cancer,5
2012,12,01-12-2012,Acute bronchitis (disorder),Non-Cancer,2
2012,12,01-12-2012,Acute viral pharyngitis (disorder),Non-Cancer,4
2012,12,01-12-2012,Alzheimer's disease (disorder),Non-Cancer,2
2012,12,01-12-2012,Anemia (disorder),Non-Cancer,2
2012,12,01-12-2012,Breast Cancer,Cancer,8
2012,12,01-12-2012,Fracture of rib,Non-Cancer,1
2012,12,01-12-2012,Fracture subluxation of wrist,Non-Cancer,1
2012,12,01-12-2012,Hyperlipidemia,Non-Cancer,13
2012,12,01-12-2012,Lung Cancer (SCLC),Cancer,2
2012,12,01-12-2012,Normal pregnancy,Non-Cancer,12
2012,12,01-12-2012,Osteoarthritis of hip,Non-Cancer,1
2012,12,01-12-2012,Streptococcal sore throat (disorder),Non-Cancer,2
2012,12,01-12-2012,Unknown,Unknown,132
2012,12,01-12-2012,Viral sinusitis (disorder),Non-Cancer,6
2013,1,01-01-2013,Acute bronchitis (disorder),Non-Cancer,4
2013,1,01-01-2013,Acute viral pharyngitis (disorder),Non-Cancer,4
2013,1,01-01-2013,Alzheimer's disease (disorder),Non-Cancer,3
2013,1,01-01-2013,Asthma,Non-Cancer,1
2013,1,01-01-2013,Breast Cancer,Cancer,9
2013,1,01-01-2013,Closed fracture of hip,Non-Cancer,1
2013,1,01-01-2013,Colon Cancer,Cancer,1
2013,1,01-01-2013,Hyperlipidemia,Non-Cancer,7
2013,1,01-01-2013,Lung Cancer (SCLC),Cancer,1
2013,1,01-01-2013,Normal pregnancy,Non-Cancer,11
2013,1,01-01-2013,Streptococcal sore throat (disorder),Non-Cancer,1
2013,1,01-01-2013,Unknown,Unknown,110
2013,1,01-01-2013,Viral sinusitis (disorder),Non-Cancer,3
2013,2,01-02-2013,Acute bacterial sinusitis (disorder),Non-Cancer,1
2013,2,01-02-2013,Acute bronchitis (disorder),Non-Cancer,3
2013,2,01-02-2013,Acute viral pharyngitis (disorder),Non-Cancer,2
2013,2,01-02-2013,Asthma,Non-Cancer,2
2013,2,01-02-2013,Breast Cancer,Cancer,5
2013,2,01-02-2013,Chronic congestive heart failure (disorder),Non-Cancer,12
2013,2,01-02-2013,Drug overdose,Non-Cancer,2
2013,2,01-02-2013,Fracture of clavicle,Non-Cancer,2
2013,2,01-02-2013,Hyperlipidemia,Non-Cancer,10
2013,2,01-02-2013,Lung Cancer (SCLC),Cancer,1
2013,2,01-02-2013,Normal pregnancy,Non-Cancer,12
2013,2,01-02-2013,Sinusitis (disorder),Non-Cancer,2
2013,2,01-02-2013,Unknown,Unknown,110
2013,2,01-02-2013,Viral sinusitis (disorder),Non-Cancer,8
2013,3,01-03-2013,Acute bronchitis (disorder),Non-Cancer,5
2013,3,01-03-2013,Acute viral pharyngitis (disorder),Non-Cancer,5
2013,3,01-03-2013,Asthma,Non-Cancer,1
2013,3,01-03-2013,Breast Cancer,Cancer,1
2013,3,01-03-2013,Chronic congestive heart failure (disorder),Non-Cancer,31
2013,3,01-03-2013,Colon Cancer,Cancer,3
2013,3,01-03-2013,Fracture of ankle,Non-Cancer,1
2013,3,01-03-2013,Fracture subluxation of wrist,Non-Cancer,1
2013,3,01-03-2013,Hyperlipidemia,Non-Cancer,16
2013,3,01-03-2013,Lung Cancer (SCLC),Cancer,1
2013,3,01-03-2013,Normal pregnancy,Non-Cancer,14
2013,3,01-03-2013,Sinusitis (disorder),Non-Cancer,2
2013,3,01-03-2013,Unknown,Unknown,149
2013,3,01-03-2013,Viral sinusitis (disorder),Non-Cancer,10
2013,4,01-04-2013,Acute bacterial sinusitis (disorder),Non-Cancer,1
2013,4,01-04-2013,Acute bronchitis (disorder),Non-Cancer,2
2013,4,01-04-2013,Acute viral pharyngitis (disorder),Non-Cancer,4
2013,4,01-04-2013,Alzheimer's disease (disorder),Non-Cancer,2
2013,4,01-04-2013,Anemia (disorder),Non-Cancer,1
2013,4,01-04-2013,Breast Cancer,Cancer,1
2013,4,01-04-2013,Chronic congestive heart failure (disorder),Non-Cancer,41
2013,4,01-04-2013,Colon Cancer,Cancer,2
2013,4,01-04-2013,Drug overdose,Non-Cancer,1
2013,4,01-04-2013,Fetus with unknown complication,Non-Cancer,1
2013,4,01-04-2013,Fracture of forearm,Non-Cancer,1
2013,4,01-04-2013,Fracture subluxation of wrist,Non-Cancer,2
2013,4,01-04-2013,Hyperlipidemia,Non-Cancer,13
2013,4,01-04-2013,Injury of tendon of the rotator cuff of shoulder,Non-Cancer,1
2013,4,01-04-2013,Lung Cancer (SCLC),Cancer,1
2013,4,01-04-2013,Normal pregnancy,Non-Cancer,11
2013,4,01-04-2013,Sinusitis (disorder),Non-Cancer,2
2013,4,01-04-2013,Streptococcal sore throat (disorder),Non-Cancer,1
2013,4,01-04-2013,Unknown,Unknown,134
2013,4,01-04-2013,Viral sinusitis (disorder),Non-Cancer,6
2013,5,01-05-2013,Acute bacterial sinusitis (disorder),Non-Cancer,1
2013,5,01-05-2013,Acute bronchitis (disorder),Non-Cancer,2
2013,5,01-05-2013,Acute viral pharyngitis (disorder),Non-Cancer,5
2013,5,01-05-2013,Alzheimer's disease (disorder),Non-Cancer,2
2013,5,01-05-2013,Breast Cancer,Cancer,6
2013,5,01-05-2013,Chronic congestive heart failure (disorder),Non-Cancer,42
2013,5,01-05-2013,Colon Cancer,Cancer,2
2013,5,01-05-2013,Drug overdose,Non-Cancer,1
2013,5,01-05-2013,Hyperlipidemia,Non-Cancer,9
2013,5,01-05-2013,Lung Cancer (NSCLC),Cancer,1
2013,5,01-05-2013,Lung Cancer (SCLC),Cancer,2
2013,5,01-05-2013,Normal pregnancy,Non-Cancer,16
2013,5,01-05-2013,Primary fibromyalgia syndrome,Non-Cancer,1
2013,5,01-05-2013,Unknown,Unknown,137
2013,5,01-05-2013,Viral sinusitis (disorder),Non-Cancer,10
2013,6,01-06-2013,Acute bronchitis (disorder),Non-Cancer,3
2013,6,01-06-2013,Acute viral pharyngitis (disorder),Non-Cancer,4
2013,6,01-06-2013,Alzheimer's disease (disorder),Non-Cancer,2
2013,6,01-06-2013,Anemia (disorder),Non-Cancer,2
2013,6,01-06-2013,Breast Cancer,Cancer,5
2013,6,01-06-2013,Chronic congestive heart failure (disorder),Non-Cancer,37
2013,6,01-06-2013,Colon Cancer,Cancer,1
2013,6,01-06-2013,Drug overdose,Non-Cancer,2
2013,6,01-06-2013,Escherichia coli urinary tract infection,Non-Cancer,2
2013,6,01-06-2013,Fetus with unknown complication,Non-Cancer,1
2013,6,01-06-2013,Fracture of forearm,Non-Cancer,1
2013,6,01-06-2013,Fracture subluxation of wrist,Non-Cancer,1
2013,6,01-06-2013,Hyperlipidemia,Non-Cancer,10
2013,6,01-06-2013,Injury of tendon of the rotator cuff of shoulder,Non-Cancer,1
2013,6,01-06-2013,Lung Cancer,Cancer,2
2013,6,01-06-2013,Lung Cancer (NSCLC),Cancer,3
